Index Type	Index Volume	Index Page	Entry Order	Subject	Type	Detail	Detail Prefix Added	Citation Order	Citation Law Type	Citation Year	Citation Session	Citation Session Type	Citation Volume	Citation Page	Citation Page Range	Citation Chapter	Citation Bill Type	Citation Bill Number
Va. Acts Index	1966-1970	5	1	ABANDONED MOTOR VEHICLES	See	See: "Motor Vehicles"	f	1										
Va. Acts Index	1966-1970	5	2	ABDUCTION	See	See: "Crimes and Offenses Generally"	f	1										
Va. Acts Index	1966-1970	5	3	ABINGDON (Town)	Citation	Charter, amending	f	1	Va. Acts	1968				217		161	H.B.	302
Va. Acts Index	1966-1970	5	4	ABORTION	Citation	Abortion or miscarriage; when producing same lawful, composition of Hospital Abortion Review Board, exceptions thereto. Amending § 18.1-62; adding §§ 18.1-62.1, 18.1-62.2 and 18.1-62.3.	f	1	Va. Acts	1970				1101		508	H.B.	495
Va. Acts Index	1966-1970	5	5	ABORTION	Citation	Abortion; Virginia Advisory Legislative Council to study desirability of revising the State's laws on matters relating thereto	f	1	Va. Acts	1968				1586			H.J.R.	148
Va. Acts Index	1966-1970	5	6	ACCOMACK COUNTY	Citation	Boundary line between Virginia and Maryland in a portion known as Upper Pocomoke Sound; provisions for the Marine Resources Commission and the Department of Chesapeake Bay Affairs of the state of Maryland to survey and establish an acceptable boundary line	f	1	Va. Acts	1968				273		198	H.B.	628
Va. Acts Index	1966-1970	5	7	ACCOMACK COUNTY	Citation	Boundary line between Virginia and Maryland in the upper reaches of the Pocomoke Sound and lower reaches of the Pocomoke River, established; provisions for transmission of copies of act to members of the United States Congress	f	1	Va. Acts	1970				415		315	H.B.	52
Va. Acts Index	1966-1970	5	8	ACCOUNTANTS AND ACCOUNTING	See	See: "Administration of the Government Generally"	f	1										
Va. Acts Index	1966-1970	5	9	ACCOUNTANTS AND ACCOUNTING	See	See: "Professions and Occupations"	t	1										
Va. Acts Index	1966-1970	5	10	ACCOUNTS, COMMISSIONER OF	See	See: "Fiduciaries Generally"	f	1										
Va. Acts Index	1966-1970	5	11	ACKNOWLEDGMENTS	See	See: "Property and Conveyances"	f	1										
Va. Acts Index	1966-1970	5	12	ACTIONS AND SUITS	Citation	Cases tried or heard after publication; defendant who appears without counsel, notices may be given to him by regular United States mail. Amending § 8-73	f	1	Va. Acts	1968				608		456	H.B.	353
Va. Acts Index	1966-1970	5	13	ACTIONS AND SUITS	Citation	Cemeteries or graveyards, private or family; appointment of trustee or trustees for the purpose of suing or being sued. Adding § 57-24.1.	f	1	Va. Acts	1970				124		94	H.B.	96
Va. Acts Index	1966-1970	5	14	ACTIONS AND SUITS	Citation	Civil actions against estates; appointment of administrator for prosecution of action for personal injury or wrongful death against estate of deceased nonresident. Adding § 64.1-75.1.	f	1	Va. Acts	1970				997		475	H.B.	92
Va. Acts Index	1966-1970	5	15	ACTIONS AND SUITS	Citation	Claims against Commonwealth, partially or wholly disallowed by Comptroller or "other authorized person"; right of action deemed to accrue under provisions of "§§ 2.1-223.1 and 2.1-223.3". Amending § 8-752	f	1	Va. Acts	1966				626		452	H.B.	778
Va. Acts Index	1966-1970	5	16	ACTIONS AND SUITS	Citation	Claims resulting from contracts for construction of State highways, adjustment of; procedure for written claims, etc., civil action, application to pending proceedings or existing contracts, provisions deemed part of contract. Adding §§ 33-328 through 33-331	f	1	Va. Acts	1966				674		494	H.B.	484
Va. Acts Index	1966-1970	6	1	ACTIONS AND SUITS	Citation	Commonwealth's Attorneys in counties and cities; to be defense attorneys for constitutional officers for certain civil actions, appointment of counsel for same if made defendant in any such action	f	1	Va. Acts	1970				588		358	H.B.	775
Va. Acts Index	1966-1970	6	2	ACTIONS AND SUITS	Citation	Condominium developments; definitions, rules and regulations on suits and liens under Horizontal Property Act. Amending §§ 55-79.2, 5579.3, 55-79.4, 55-79.7, 55-79.9, 55-79.11, 55-79.13 and 55-79.14; adding §§ 55-79.34 through 55-79.38	f	1	Va. Acts	1966				1144		683	H.B.	382
Va. Acts Index	1966-1970	6	3	ACTIONS AND SUITS	Citation	Controversy, submission to by arbitration; procedure if either party refuses to cooperate in appointment of arbitrator(s). Amending § 8-503	f	1	Va. Acts	1968				354		244	H.B.	804
Va. Acts Index	1966-1970	6	4	ACTIONS AND SUITS	Citation	Courts not of record; civil jurisdiction when amount of claim does not exceed three thousand dollars. Amending § 16.1-77	f	1	Va. Acts	1968				6		5	H.B.	29
Va. Acts Index	1966-1970	6	5	ACTIONS AND SUITS	Citation	Courts not of record, removal of civil actions involving more than three hundred dollars; "affidavit shall state the grounds of defense". Amending § 16.1-92	f	1	Va. Acts	1968				608		457	H.B.	355
Va. Acts Index	1966-1970	6	6	ACTIONS AND SUITS	Citation	Damages for injury arising out of defective or unsafe condition of improvements to real property; persons exempt from action to recover include those performing "surveying". Amending § 8-24.2.	f	1	Va. Acts	1968				150		103	H.B.	312
Va. Acts Index	1966-1970	6	7	ACTIONS AND SUITS	Citation	Death by wrongful act, damages recoverable in action; maximum increased to "forty" thousand dollars, not applicable to action arising prior to "July one, nineteen hundred sixty-six". Amending § 8-636	f	1	Va. Acts	1966				787		583	H.B.	177
Va. Acts Index	1966-1970	6	8	ACTIONS AND SUITS	Citation	Debts, liability of real estate; heir or devisee may be sued in equity by "personal representative or" any creditor to whom claim due, claimant to "record notice of lis pendens". Amending § 64-174	f	1	Va. Acts	1968				744		515	S.B.	279
Va. Acts Index	1966-1970	6	9	ACTIONS AND SUITS	Citation	Declaratory judgments; commissioners to determine compensation for property taken or damaged. Adding § 8-581.1.	f	1	Va. Acts	1968				1391		782	H.B.	511
Va. Acts Index	1966-1970	6	10	ACTIONS AND SUITS	Citation	Desertion and nonsupport; orders entered by court for alimony and child support become inoperative upon entry of a decree in a suit for divorce instituted in any court of record "in this State" having jurisdiction. Amending § 20-79	f	1	Va. Acts	1970				677		459	S.B.	252
Va. Acts Index	1966-1970	6	11	ACTIONS AND SUITS	Citation	Divorce, affirmation and annulment of marriage; venue includes county or corporation in which plaintiff resides "in cases in which order of publication issued against defendant under § 8-71". Amending § 20-98	f	1	Va. Acts	1966				625		449	H.B.	769
Va. Acts Index	1966-1970	6	12	ACTIONS AND SUITS	Citation	Divorce, affirmation and annulment, service of process; provisions of § 8-47 regarding execution without county or city of venue shall not apply. Adding § 8-47.1.	f	1	Va. Acts	1968				1252		706	H.B.	1159
Va. Acts Index	1966-1970	6	13	ACTIONS AND SUITS	Citation	Emergency care; persons exempt from liability for civil damages who render emergency care or assistance at scene of accident, etc., without compensation. Amending § 54-276.9.	f	1	Va. Acts	1968				1405		796	S.B.	138
Va. Acts Index	1966-1970	6	14	ACTIONS AND SUITS	Citation	Evidence; when plea of guilty in criminal prosecution admissible in civil action, proof of such plea	f	1	Va. Acts	1970				586		354	H.B.	656
Va. Acts Index	1966-1970	6	15	ACTIONS AND SUITS	Citation	Examinations, physical or mental; court may require same of a party prior to trial, written reports to be made. Adding § 8-210.1.	f	1	Va. Acts	1970				1073		493	H.B.	247
Va. Acts Index	1966-1970	6	16	ACTIONS AND SUITS	Citation	Garnishment proceedings, summons in; Chesapeake, Portsmouth and Norfolk justices of the peace may issue. Amending §§ 8-441 and 39-4.	f	1	Va. Acts	1966				379		212	H.B.	80
Va. Acts Index	1966-1970	6	17	ACTIONS AND SUITS	Citation	Highway Commission, State, members and officials testifying in civil proceedings involving official duties; deposition may be taken in main office of Commission following notice to adverse party, exception. Adding § 33-3.1.	f	1	Va. Acts	1966				569		369	S.B.	292
