Index Type	Index Volume	Index Page	Entry Order	Subject	Type	Detail	Detail Prefix Added	Citation Order	Citation Law Type	Citation Year	Citation Session	Citation Session Type	Citation Volume	Citation Page	Citation Page Range	Citation Chapter	Citation Bill Type	Citation Bill Number
Va. Acts Index	1976-1980	1	1	ABANDONED MOTOR VEHICLES	See	See: Motor Vehicles	f	1										
Va. Acts Index	1976-1980	1	2	ABDUCTION	See	See: Crimes and Offenses Generally	f	1										
Va. Acts Index	1976-1980	1	3	ABINGDON, TOWN OF	Citation	Charter; new (previous charter repealed) .	f	1	Va. Acts	1978				122		76	H.B.	11
Va. Acts Index	1976-1980	1	4	ABORTION	Citation	Abortions; consent required. Amending § 18.2-76	f	1	Va. Acts	1979				324		250	S.B.	927
Va. Acts Index	1976-1980	1	5	ABSENTEE BALLOTS	See	See: Elections	f	1										
Va. Acts Index	1976-1980	1	6	ABUSED SPOUSES, SERVICES FOR	See	See: Welfare	f	1										
Va. Acts Index	1976-1980	1	7	ACCIDENT AND SICKNESS INSURANCE	See	See: Insurance	f	1										
Va. Acts Index	1976-1980	1	8	ACCIDENT REPORTS	See	See: Motor Vehicles	f	1										
Va. Acts Index	1976-1980	1	9	ACCOMACK COUNTY	Citation	Accomack County; payment of principal and interest of bonds under Public Finance Act	f	1	Va. Acts	1977				501		353	H.B.	1637
Va. Acts Index	1976-1980	1	10	ACCOMACK COUNTY	Citation	Accomack-Northampton Transportation District; allocation of certain revenues to secondary road system for use in Accomack and Northampton Counties	f	1	Va. Acts	1978				77		45	S.B.	342
Va. Acts Index	1976-1980	1	11	ACCOMACK COUNTY	Citation	Assessments, department of; establishment in Accomack County. Amending Chapter 656, 1974 Acts (carried by reference in Code as § 58-769.3:1)	f	1	Va. Acts	1979				444		299	S.B.	565
Va. Acts Index	1976-1980	1	12	ACCOMACK COUNTY	Citation	Highways, secondary; Highway and Transportation Commission may allocate revenues allocated for such roads to Accomack-Northampton Transportation District	f	1	Va. Acts	1977				283		234	H.B.	2079
Va. Acts Index	1976-1980	1	13	ACCOMACK COUNTY	Citation	Onancock, town of, charter; new (previous charter repealed).	f	1	Va. Acts	1976				561		480	H.B.	27
Va. Acts Index	1976-1980	1	14	ACCOMACK COUNTY	Citation	Parksley, town of, charter; new (previous charter repealed with exception)	f	1	Va. Acts	1979				205		163	H.B.	1228
Va. Acts Index	1976-1980	1	15	ACCOMACK COUNTY	Citation	Roads in secondary system; highway revenues allocated for use in Accomack and Northampton Counties, appropriation	f	1	Va. Acts	1980				421		375	H.B.	370
Va. Acts Index	1976-1980	1	16	ACCOMACK COUNTY	Citation	School boards; salaries in Accomack, Albemarle, Campbell, Chesterfield, Craig, Cumberland, Gloucester, Loudoun, Mathews, Northampton, Pittsylvania, Prince William, Pulaski and Wythe Counties, and Alexandria, Lexington, Martinsville, South Boston and Roanoke Cities. Amending § 22-67.2.	f	1	Va. Acts	1978				695		488	S.B.	120
Va. Acts Index	1976-1980	2	1	ACCOMACK COUNTY	Citation	Zoning ordinances and amendments; permitted provisions in Accomack and Northampton Counties. Amending § 15.1-491	f	1	Va. Acts	1976				1021		683	H.B.	840
Va. Acts Index	1976-1980	2	2	ACCOMACK-NORTHAMPTON TRANSPORTATION DISTRICT	See	See: Transportation	f	1										
Va. Acts Index	1976-1980	2	3	ACCOUNTANTS AND ACCOUNTING	See	See: Professions and Occupations	f	1										
Va. Acts Index	1976-1980	2	4	ACKNOWLEDGMENTS	See	See: Property and Conveyances	f	1										
Va. Acts Index	1976-1980	2	5	ACRA, J. STERLING	See	See: Deaths	f	1										
Va. Acts Index	1976-1980	2	6	ACTIONS AND SUITS	Citation	Agricultural commission merchants; hearings on complaints regarding sale of farm produce, appeal from orders and actions of Commissioner of Agriculture and Commerce. Amending §§ 3.1-704 and 3.1-712	f	1	Va. Acts	1976				200		164	H.B.	715
Va. Acts Index	1976-1980	2	7	ACTIONS AND SUITS	Citation	Annexation proceedings; provisions governing territories which front or border on a river, creek, bay, lake or similar type body of water. Adding § 15.1-1041.1.	f	1	Va. Acts	1976				934		662	H.B.	1010
Va. Acts Index	1976-1980	2	8	ACTIONS AND SUITS	Citation	Annexation suits and certain city charters; moratorium on the granting thereof Amending Chapter 234, 1971 Acts	f	1	Va. Acts	1976				1215		766	H.B.	850
Va. Acts Index	1976-1980	2	9	ACTIONS AND SUITS	Citation	Appeal bond; filing when an appeal of right is entered from State Corporation Commission to Supreme Court. Amending § 8.01-676	f	1	Va. Acts	1978				741		504	H.B.	677
Va. Acts Index	1976-1980	2	10	ACTIONS AND SUITS	Citation	Appeal bond; not required for the Commonwealth. Amending § 16.1-107	f	1	Va. Acts	1978				735		501	H.B.	361
Va. Acts Index	1976-1980	2	11	ACTIONS AND SUITS	Citation	Appeals; time within which petition must be presented Amending § 8-463	f	1	Va. Acts	1977				2		2	S.B.	241
Va. Acts Index	1976-1980	2	12	ACTIONS AND SUITS	Citation	Appeals; when discontinued in civil cases. Amending § 16.1-113	f	1	Va. Acts	1980				152		129	H.B.	264
Va. Acts Index	1976-1980	2	13	ACTIONS AND SUITS	Citation	Appeals; withdrawal in criminal cases. Amending § 16.1-133	f	1	Va. Acts	1979				778		536	H.B.	1921
Va. Acts Index	1976-1980	2	14	ACTIONS AND SUITS	Citation	Appeals, writs of error and supersedeas; with whom filed, action on petition, limitations, when writ allowed, etc. Amending §§ 8-475, 8-476, 8-489, 19.2-321, 19.2-322 and 19.2-323	f	1	Va. Acts	1976				811		615	S.B.	249
Va. Acts Index	1976-1980	2	15	ACTIONS AND SUITS	Citation	Attorney General; to render services in legal matters of State government, excludes services to State Corporation Commission or when conflict of interests exist. Amending §§ 2.1-121 and 2.1-122; repealing § 2.1-123	f	1	Va. Acts	1976				1137		726	S.B.	154
Va. Acts Index	1976-1980	2	16	ACTIONS AND SUITS	Citation	Bad checks; remedies in civil actions. Amending § 18.2-181 (unchanged); adding § 6.1-118.1.	f	1	Va. Acts	1977				431		329	H.B.	1918
Va. Acts Index	1976-1980	2	17	ACTIONS AND SUITS	Citation	Burial contracts; execution, garnishment, etc. Amending §§ 11-24, 11-25, 11-26, 11-28 and 11-29; repealing § 11-27	f	1	Va. Acts	1980				446		389	S.B.	359
Va. Acts Index	1976-1980	2	18	ACTIONS AND SUITS	Citation	Child support; form of garnishment summons, portion of earnings subject to garnishment. Amending §§ 8.01-512, 34-29 and 63.1-257	f	1	Va. Acts	1978				868		564	H.B.	778
