Index Type	Index Volume	Index Page	Entry Order	Subject	Type	Detail	Detail Prefix Added	Citation Order	Citation Law Type	Citation Year	Citation Session	Citation Session Type	Citation Volume	Citation Page	Citation Page Range	Citation Chapter	Citation Bill Type	Citation Bill Number
Va. Acts Index	1981-1985	1	1	A.P. CARTER HIGHWAY	See	See: Highways, Bridges and Ferries	f	1										
Va. Acts Index	1981-1985	1	2	ABANDONED MOTOR VEHICLES	See	See: Motor Vehicles	f	1										
Va. Acts Index	1981-1985	1	3	ABORTION	See	See: Health	f	1										
Va. Acts Index	1981-1985	1	4	ACCIDENT AND SICKNESS INSURANCE	See	See: Insurance	f	1										
Va. Acts Index	1981-1985	1	5	ACCOMACK COUNTY	Citation	Accomack County; Governor to convey certain property therein to town of Wachapreague	f	1	Va. Acts	1984				98		90	S.B.	131
Va. Acts Index	1981-1985	1	6	ACCOMACK COUNTY	Citation	Accomack County; Governor to convey certain property therein to town of Wachapreague	f	1	Va. Acts	1984				99		91	S.B.	132
Va. Acts Index	1981-1985	1	7	ACCOMACK COUNTY	Citation	Accomack County; Governor to convey certain property therein to town of Wachapreague	f	1	Va. Acts	1985				63		46	S.B.	479
Va. Acts Index	1981-1985	1	8	ACCOMACK COUNTY	Citation	Chincoteague, town of, charter; amending	f	1	Va. Acts	1981				101		84	H.B.	1165
Va. Acts Index	1981-1985	1	9	ACCOMACK COUNTY	Citation	Fish pots; allows setting on ocean side of Accomack and Northampton Counties. Amending § 28.1-48	f	1	Va. Acts	1981				80		61	H.B.	1394
Va. Acts Index	1981-1985	1	10	ACCOMACK COUNTY	Citation	Parksley, town of, charter; amending	f	1	Va. Acts	1983				58		49	H.B.	74
Va. Acts Index	1981-1985	1	11	ACCOUNTANTS AND ACCOUNTING	See	See: Professions and Occupations	f	1										
Va. Acts Index	1981-1985	1	12	ACID RAIN	See	See: Conservation Generally	f	1										
Va. Acts Index	1981-1985	1	13	ACTION IN THE COMMUNITY THROUGH SERVICE	See	See: Tax Exempt Organizations	f	1										
