Index Type	Index Volume	Index Page	Entry Order	Subject	Type	Detail	Detail Prefix Added	Citation Order	Citation Law Type	Citation Year	Citation Session	Citation Session Type	Citation Volume	Citation Page	Citation Page Range	Citation Chapter	Citation Bill Type	Citation Bill Number
Va. Acts Index	1991-1995	1	1	A. L. PHILPOTT MANUFACTURING (RESEARCH) CENTER	See	See: Educational Institutions	f	1										
Va. Acts Index	1991-1995	1	2	A. L. PHILPOTT MEMORIAL HIGHWAY	See	See: Highways, Bridges and Ferries	f	1										
Va. Acts Index	1991-1995	1	3	A. L. PHILPOTT SOUTHSIDE ECONOMIC DEVELOPMENT COMMISSION	See	See: Administration of the Government Generally	f	1										
Va. Acts Index	1991-1995	1	4	AAROE, ALDEN	See	See: Deaths	f	1										
Va. Acts Index	1991-1995	1	5	ABADY, NINA FRIEDMAN	See	See: Deaths	f	1										
Va. Acts Index	1991-1995	1	6	ABDUCTION	See	See: Crimes and Offenses Generally	f	1										
Va. Acts Index	1991-1995	1	7	ABERNATHY, JETER	See	See: Commendations	f	1										
Va. Acts Index	1991-1995	1	8	ABERNETHY, JOYCE CHILDRESS	See	See: Commendations	f	1										
Va. Acts Index	1991-1995	1	9	ABINGDON HIGH SCHOOL	See	See: Commendations	f	1										
Va. Acts Index	1991-1995	1	10	ABINGDON PLANTATION HOUSE	See	See: Conservation	f	1										
Va. Acts Index	1991-1995	1	11	ABINGDON, TOWN OF	Citation	Morgan-McClure racing team of Abingdon; commending	f	1	Va. Acts	1994				2743			S.J.R.	223
Va. Acts Index	1991-1995	1	12	ABINGDON, TOWN OF	Citation	Morgan-McClure racing team of Abingdon; commending	f	1	Va. Acts	1995				2446			H.J.R.	723
Va. Acts Index	1991-1995	1	13	ABSENTEE BALLOTS	See	See: Elections	f	1										
Va. Acts Index	1991-1995	1	14	ABUSE AND LOSE	See	See: Motor Vehicles	f	1										
Va. Acts Index	1991-1995	1	15	ACCIDENT AND SICKNESS INSURANCE	See	See: Insurance	f	1										
Va. Acts Index	1991-1995	1	16	ACCOMACK COUNTY	Citation	Coastal land in Accomack and Northampton Counties; Virginia members of Chesapeake Bay Commission, et al., to study management, use, claims, etc., thereof	f	1	Va. Acts	1993				2153			H.J.R.	520
Va. Acts Index	1991-1995	1	17	ACCOMACK COUNTY	Citation	Judges in Accomack and Northampton Counties; appointment powers. Amending § 17-116.2 and 19.2-6.	f	1	Va. Acts	1994				580		407	S.B.	596
Va. Acts Index	1991-1995	1	18	ACCOMACK COUNTY	Citation	Jury duty; deletes citizens of Tangier Island in Accomack County from exemptions. Amending § 8.01-341	f	1	Va. Acts	1993				723		572	S.B.	848
Va. Acts Index	1991-1995	1	19	ACCOMACK COUNTY	Citation	School boards; salaries in Accomack County. Amending § 22.1-32	f	1	Va. Acts	1991				391		279	H.B.	1395
Va. Acts Index	1991-1995	1	20	ACCOMACK COUNTY	Citation	Solid waste; collection of disposal fees in Accomack County, fees not to be used to purchase equipment for collection thereof in Floyd and Wise Counties. Amending § 15.1-362.1.	f	1	Va. Acts	1995				988		633	H.B.	2196
Va. Acts Index	1991-1995	1	21	ACCOUNTANTS AND ACCOUNTING	See	See: Professions and Occupations	f	1										
Va. Acts Index	1991-1995	1	22	ACHIEVABLE DREAM, INC.	See	See: Commendations	f	1										
Va. Acts Index	1991-1995	1	23	ACKISS, JOHN EARL	See	See: Deaths	f	1										
Va. Acts Index	1991-1995	1	24	ACTION IN THE COMMUNITY THROUGH SERVICE (ACTS)	See	See: Commendations	f	1										
Va. Acts Index	1991-1995	1	25	ACTIONS AND SUITS	See	See: Civil Remedies and Procedure	f	1										
Va. Acts Index	1991-1995	1	26	ACTS OF ASSEMBLY	See	See: General Assembly	f	1										
Va. Acts Index	1991-1995	1	27	ACUPUNCTURE	See	See: Health	f	1										
Va. Acts Index	1991-1995	1	28	ADAMS, CONRAD	See	See: Commendations	f	1										
Va. Acts Index	1991-1995	1	29	ADAMS, DAVID RANDOLPH	See	See: Deaths	f	1										
Va. Acts Index	1991-1995	1	30	ADD DAY	See	See: Holidays, Special Days, Etc.	f	1										
Va. Acts Index	1991-1995	1	31	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	A. L. Philpott Southside Economic Development Commission; continued, appropriation	f	1	Va. Acts	1992				2070			H.J.R.	71
Va. Acts Index	1991-1995	1	32	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	A. L. Philpott Southside Economic Development Commission; continued, appropriation	f	1	Va. Acts	1993				2095			H.J.R.	412
Va. Acts Index	1991-1995	1	33	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	A. L. Philpott Southside Economic Development Commission; continued, appropriation	f	1	Va. Acts	1994				2578			H.J.R.	353
Va. Acts Index	1991-1995	1	34	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	A. L. Philpott Southside Economic Development Commission; continued, appropriation	f	1	Va. Acts	1995				2311			H.J.R.	451
Va. Acts Index	1991-1995	1	35	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Administration of justice; Joint Legislative Audit and Review Commission to study functional areas in system of juvenile justice, in system of courts, and Department of Criminal Justice Services	f	1	Va. Acts	1995				2480			S.J.R.	263
Va. Acts Index	1991-1995	1	36	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Administration, Secretary of; confirming appointment	f	1	Va. Acts	1994				2619			S.J.R.	41
Va. Acts Index	1991-1995	1	37	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Administrative agency directors; authority concerning discussion of agency functions and policies. Amending § 2.1-20.01:1.	f	1	Va. Acts	1992				989		672	S.B.	207
Va. Acts Index	1991-1995	1	38	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Administrative Conference of Virginia; Virginia Bar Association to study establishment thereof	f	1	Va. Acts	1993				2398			S.J.R.	236
