Index Type	Index Volume	Index Page	Entry Order	Subject	Type	Detail	Detail Prefix Added	Citation Order	Citation Law Type	Citation Year	Citation Session	Citation Session Type	Citation Volume	Citation Page	Citation Page Range	Citation Chapter	Citation Bill Type	Citation Bill Number
Va. Acts Index	1986-1990	1	1	A. P. CARTER BIRTHPLACE FOUNDATION, INC.	See	See: Tax Exempt Organizations	f	1										
Va. Acts Index	1986-1990	1	2	A. P. CARTER MUSEUM FOUNDATION, INC.	See	See: Tax Exempt Organizations	f	1										
Va. Acts Index	1986-1990	1	3	AAROE, ALDEN	See	See: Commendations	f	1										
Va. Acts Index	1986-1990	1	4	ABANDONED MOTOR VEHICLES	See	See: Motor Vehicles	f	1										
Va. Acts Index	1986-1990	1	5	ABDUCTION	See	See: Crimes and Offenses Generally	f	1										
Va. Acts Index	1986-1990	1	6	ABSENTEE BALLOTS	See	See: Elections	f	1										
Va. Acts Index	1986-1990	1	7	ABUSE AND LOSE BILL	See	See: Motor Vehicles	f	1										
Va. Acts Index	1986-1990	1	8	ACCESSIBLE APARTMENTS OF NEWPORT NEWS, INC.	See	See: Tax Exempt Organizations	f	1										
Va. Acts Index	1986-1990	1	9	ACCIDENT AND SICKNESS INSURANCE	See	See: Insurance	f	1										
Va. Acts Index	1986-1990	1	10	ACCOMACK COUNTY	Citation	Real estate assessments; department in James City and Accomack Counties may perform on an annual or biennial basis. Amending § 58.1-3274	f	1	Va. Acts	1987				448		362	H.B.	1221
Va. Acts Index	1986-1990	1	11	ACCOMACK COUNTY	Citation	Real estate assessments; department in James City and Accomack Counties may perform on an annual or biennial basis. Amending § 58.1-3274	f	1	Va. Acts	1987				389		318	S.B.	378
Va. Acts Index	1986-1990	1	12	ACTIONS AND SUITS	Citation	Actions and suits; approval of compromises on behalf of persons under disability. Amending § 8.01-424	f	1	Va. Acts	1988				506		409	H.B.	277
Va. Acts Index	1986-1990	1	13	ACTIONS AND SUITS	Citation	Antitrust Act; awarding of attorney's fee when plaintiff prevails in a court proceeding. Amending § 59.1-9.15	f	1	Va. Acts	1988				756		589	H.B.	547
Va. Acts Index	1986-1990	1	14	ACTIONS AND SUITS	Citation	Asbestos; actions against a manufacturer or supplier. Amending § 8.01-250.1.	f	1	Va. Acts	1986				771		458	S.B.	360
Va. Acts Index	1986-1990	1	15	ACTIONS AND SUITS	Citation	Claims against any department, institution, etc., of State; settlement of disputes by Attorney General. Amending § 2.1-127	f	1	Va. Acts	1989				119		75	H.B.	1685
Va. Acts Index	1986-1990	1	16	ACTIONS AND SUITS	Citation	Condominiums; actions for breach of warranties. Amending § 55-79.79	f	1	Va. Acts	1987				485		395	H.B.	1632
Va. Acts Index	1986-1990	1	17	ACTIONS AND SUITS	Citation	Depositions; venue for taking. Adding § 8.01-420.4.	f	1	Va. Acts	1989				270		209	H.B.	1398
Va. Acts Index	1986-1990	1	18	ACTIONS AND SUITS	Citation	Disputes; compromise and settlement by Attorney General. Amending § 2.1-127	f	1	Va. Acts	1986				229		180	H.B.	503
Va. Acts Index	1986-1990	1	19	ACTIONS AND SUITS	Citation	Fraud; statute of limitations for actions resulting therefrom. Amending § 8.01-243	f	1	Va. Acts	1987				1174		679	H.B.	1052
Va. Acts Index	1986-1990	1	20	ACTIONS AND SUITS	Citation	Injury to persons; monetary limitation on amount of punitive damages recoverable. Adding § 8.01-38.1.	f	1	Va. Acts	1987				341		255	S.B.	402
Va. Acts Index	1986-1990	1	21	ACTIONS AND SUITS	Citation	Personal actions; when cause of action shall be deemed to accrue. Amending § 8.01-249	f	1	Va. Acts	1986				1494		601	S.B.	161
Va. Acts Index	1986-1990	1	22	ACTIONS AND SUITS	Citation	Releases/covenants not to sue; execution or agreement. Amending § 8.01-35.1.	f	1	Va. Acts	1989				1580		681	H.B.	1211
Va. Acts Index	1986-1990	1	23	ACTIONS AND SUITS	Citation	Vaccine-related injury or death; action against physician. Adding § 8.01-44.2.	f	1	Va. Acts	1987				1138		664	S.B.	665
Va. Acts Index	1986-1990	2	1	ACTIONS AND SUITS	Citation	Venue; jurisdiction of claims. Amending §§ 8.01-195.4, 8.01-259, 8.01-261, 54-76 and 60.2-625; repealing §§ 8.01-621 and 8.01-638	f	1	Va. Acts	1987				906		567	H.B.	1453
Va. Acts Index	1986-1990	2	2	ACTS OF ASSEMBLY	See	See: General Assembly	f	1										
Va. Acts Index	1986-1990	2	3	ACUPUNCTURE	See	See: Health	f	1										
Va. Acts Index	1986-1990	2	4	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Accountancy, Board of; continuance, regulations for practice of public accountancy. Adding §§ 54-102.24 through 54-102.35; repealing §§ 54-84 through 54-102	f	1	Va. Acts	1987				1003		610	H.B.	1019
Va. Acts Index	1986-1990	2	5	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Accountancy, Board of; continuance, regulations for practice of public accountancy. Adding §§ 54-102.24 through 54-102.35; repealing §§ 54-84 through 54-102	f	1	Va. Acts	1987				1121		660	S.B.	631
Va. Acts Index	1986-1990	2	6	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Administrative Process Act; clarifies information which must be submitted to Registrar of Regulations, Code Commission to receive copies without charge. Amending §§ 9-6.14:7.1, 9-6.14:9, 9-6.14:22 and 9-6.14:24	f	1	Va. Acts	1989				114		71	H.B.	1564
Va. Acts Index	1986-1990	2	7	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Administrative Process Act; judicial review, requirements for hearing officers, etc. Amending §§ 2.1-703, 3.1-84, 3.1-101, 3.1-126.7, 3.1-126.10, 3.1-186, 3.1-248, 3.1-249.14, 3.1-270, 3.1-712, 3.1-770.3, 3.1-884.30, 3.1-933, 3.1-1052, 4-31, 4-37, 5.1-8, 9-6.14:4.1, 9-6.14:11, 9-6.14:12, 9-6.14:16, 9-6.14:22, 9-192, 10-17.23:1, 10-17.23:2, 10-90.6, 10-186.18, 21-89.10, 27-81, 28.1-29, 28.1-33, 32.1-102.11, 32.1-164.1, 32.1-175, 33.1-358, 33.1-366, 37.1-186, 40.1-51.16, 45.1-179.11, 45.1-196, 45.1-240, 45.1-251, 45.1-254, 45.1-378, 46.1-61, 46.1-367, 46.1-437, 46.1-539, 54-1.37, 54-320, 54-524.32, 57-67, 62.1-13.15, 62.1-44.24, 62.1-44.29, 62.1-115.6, 63.1-180 and 63.1-213; adding § 9-6.14:14.1; repealing §§ 10-17.23:3, 46.1-540, 46.1-541, 46.1-542, 54-1.36, 54-1.38 and 62.1-44.106	f	1	Va. Acts	1986				1523		615	H.B.	6
Va. Acts Index	1986-1990	2	8	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	African Development Bank; investment of public sinking funds and certain retirement funds. Amending §§ 2.1-327 and 51-111.24:1.	f	1	Va. Acts	1988				644		526	S.B.	330
Va. Acts Index	1986-1990	2	9	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Agencies or political subdivisions; delegation of duties. Amending § 1-17.2; adding § 2.1-20.01:2.	f	1	Va. Acts	1988				330		273	H.B.	291
Va. Acts Index	1986-1990	2	10	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Aging, Department for; confidentiality of records of ombudsman program, exception. Amending § 2.1-373.2.	f	1	Va. Acts	1988				43		41	H.B.	578
Va. Acts Index	1986-1990	2	11	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Aging, Department for; to operate programs of Office of State Long-Term Care Ombudsman. Amending §§ 2.1-373.1 and 2.1-373.2; adding § 2.1-373.2:1.	f	1	Va. Acts	1989				222		160	H.B.	1232
Va. Acts Index	1986-1990	2	12	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Alcohol and drug abuse; Secretaries of Human Resources, of Transportation and Public Safety and of Education to study such effects on health in drug or substance abuse prevention and educational efforts, Council of Higher Education requested to survey higher educational institutions and report its findings	f	1	Va. Acts	1987				1729			H.J.R.	260
Va. Acts Index	1986-1990	2	13	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Alcohol and Drug Abuse Problems, Governor's Council on; members, meetings, etc. Amending § 37.1-207	f	1	Va. Acts	1990				394		288	H.B.	670
Va. Acts Index	1986-1990	2	14	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Alcohol Safety Action Program (VASAP); duties of Commission to include administration of a statewide program. Amending §§ 2.1-1.5, 2.1-51.18, 9-6.23, 9-6.25:2, 18.2-271.1 and 18.2-271.2.	f	1	Va. Acts	1988				1846		888	S.B.	176
Va. Acts Index	1986-1990	2	15	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Aliens, illegal; directing state agencies to conform to Immigration Reform and Control Act of 1986 and not award contracts to firms employing same	f	1	Va. Acts	1987				1765			H.J.R.	336
Va. Acts Index	1986-1990	2	16	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Alzheimer's Disease and Related Disorders Commission; under auspices of Secretary of Health and Human Resources. Amending § 37.1-62.1; repealing Chapter 699, 1987 Acts	f	1	Va. Acts	1990				348		256	S.B.	297
Va. Acts Index	1986-1990	2	17	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Apprenticeship training and journeymen level retraining; Board for Vocational Education, Employment Commission and Departments of Economic Development and of Labor and Industry to study	f	1	Va. Acts	1989				2172			H.J.R.	444
Va. Acts Index	1986-1990	2	18	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Arts, Commission for; changes auspices from Secretary of Education to Secretary of Commerce and Resources. Amending §§ 2.1-51.9 and 2.1-51.21	f	1	Va. Acts	1986				559		335	H.B.	247
Va. Acts Index	1986-1990	2	19	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Asbestos; abatement of risk in certain buildings, regulation of contractors and workers. Amending §§ 54.1-500 through 54.1-507, 54.1-509, 54.1-511, 54.1-512, 54.1-514, 54.1-516 and 54.1-517	f	1	Va. Acts	1989				564		397	H.B.	1650
Va. Acts Index	1986-1990	2	20	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Asbestos; identification in buildings and public schools, report to be submitted by Director of Department of General Services. Amending Chapter 534, 1985 Acts	f	1	Va. Acts	1986				493		288	H.B.	486
Va. Acts Index	1986-1990	2	21	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Asbestos; identification in buildings and public schools, report to be submitted by Director of Department of General Services. Amending Chapter 534, 1985 Acts	f	1	Va. Acts	1986				1102		560	S.B.	200
Va. Acts Index	1986-1990	2	22	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Asbestos; inspection and abatement actions in all buildings, State immune from civil liability. Amending §§ 2.1-526.12, 2.1-526.14, 9-6.14:4.1, 32.1-126.1, 36-99.7, 55-79.94 and 63.1-198.01; adding § 2.1-526.17:1.	f	1	Va. Acts	1988				952		723	S.B.	177
Va. Acts Index	1986-1990	3	1	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Asbestos; inspection, management and control. Amending §§ 2.1-526.12, 32.1-126.1, 36-99.7 and 55-79.94; adding §§ 2.1-526.14:1 and 2.1-526.14:2.	f	1	Va. Acts	1989				567		398	H.B.	1651
Va. Acts Index	1986-1990	3	2	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Asbestos; inspection standards for identification. Amending §§ 2.1-526.12 and 2.1-526.14:1.	f	1	Va. Acts	1990				105		50	H.B.	309
Va. Acts Index	1986-1990	3	3	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Attorney General; changes date for annual report. Amending § 2.1-128	f	1	Va. Acts	1988				132		122	H.B.	498
Va. Acts Index	1986-1990	3	4	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Aviation Museum; acquisition and operation by Science Museum	f	1	Va. Acts	1990				143		86	H.B.	221
Va. Acts Index	1986-1990	3	5	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Boards, commissions and councils within executive branch; establishing advisory boards, policy and supervisory entities. Adding §§ 9-6.25:1, 9-6.25:2 and 9-6.25:3.	f	1	Va. Acts	1986				1055		546	H.B.	787
Va. Acts Index	1986-1990	3	6	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Boards, commissions, councils, etc.; members to make financial disclosures, exception. Amending §§ 2.1-639.13, 2.1-639.14, 2.1-639.15 and 2.1-639.41; adding § 2.1-639.15:1.	f	1	Va. Acts	1988				1704		849	H.B.	846
Va. Acts Index	1986-1990	3	7	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Bonds; powers of governmental instrumentalities to issue obligations not to be denied because interest is subject to federal income taxation. Adding § 2.1-326.2:1.	f	1	Va. Acts	1986				182		137	H.B.	734
Va. Acts Index	1986-1990	3	8	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Bonds; Treasury Board and governmental instrumentalities authorized to issue. Amending §§ 2.1-179 and 2.1-326.1.	f	1	Va. Acts	1990				1099		712	S.B.	419
Va. Acts Index	1986-1990	3	9	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Brain, head and spinal cord injuries; Secretaries of Transportation and Public Safety and of Health and Human Resources, and Attorney General to collaborate to enhance public awareness of importance of complying with existing seat belt, helmet, infant restraint and DUI laws as means to reduce number thereof	f	1	Va. Acts	1989				2144			H.J.R.	396
Va. Acts Index	1986-1990	3	10	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Brain injured persons; Department of Health under direction of Secretary of Health and Human Resources to study need for implementing a training program on traumatic brain injury for emergency medical personnel, educators, and mental health counselors	f	1	Va. Acts	1989				2142			H.J.R.	393
Va. Acts Index	1986-1990	3	11	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; additional appropriations for 1986-88 biennium. Amending Chapter 643, 1986 Acts	f	1	Va. Acts	1987				1290		723	H.B.	1050
Va. Acts Index	1986-1990	3	12	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; additional appropriations for 1988-90 biennium. Amending Chapter 800, 1988 Acts	f	1	Va. Acts	1989				1144		668	H.B.	1150
Va. Acts Index	1986-1990	3	13	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; additional appropriations for 1988-90 biennium. Amending Chapter 800, 1988 Acts	f	1	Va. Acts	1990				1539		880	H.B.	29
Va. Acts Index	1986-1990	3	14	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for certain state agencies and institutions of higher education for 1988-90 biennium	f	1	Va. Acts	1989				1034		640	S.B.	503
Va. Acts Index	1986-1990	3	15	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for certain state agencies and institutions of higher education for 1990-1992 biennium	f	1	Va. Acts	1990				1726		922	H.B.	33
Va. Acts Index	1986-1990	3	16	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education and Department of General Services for 1986-88 biennium	f	1	Va. Acts	1987				944		584	H.B.	1051
Va. Acts Index	1986-1990	3	17	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education and Department of General Services for 1986-88 biennium	f	1	Va. Acts	1987				914		573	S.B.	501
Va. Acts Index	1986-1990	3	18	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education and Department of General Services for 1988-90 biennium	f	1	Va. Acts	1988				916		705	H.B.	31
Va. Acts Index	1986-1990	3	19	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education and Department of General Services for 1988-90 biennium	f	1	Va. Acts	1988				886		692	S.B.	31
Va. Acts Index	1986-1990	3	20	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education and Department of General Services for 1988-90 biennium	f	1	Va. Acts	1989				680		477	H.B.	1151
Va. Acts Index	1986-1990	3	21	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education and Department of General Services for 1988-90 biennium	f	1	Va. Acts	1989				643		452	S.B.	501
Va. Acts Index	1986-1990	3	22	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education and Department of General Services for 1990-1992 biennium	f	1	Va. Acts	1990				1279		806	S.B.	31
Va. Acts Index	1986-1990	3	23	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education for 1988-90 biennium	f	1	Va. Acts	1988				923		706	H.B.	32
Va. Acts Index	1986-1990	3	24	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education for 1988-90 biennium	f	1	Va. Acts	1988				893		693	S.B.	32
Va. Acts Index	1986-1990	3	25	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education for 1988-90 biennium	f	1	Va. Acts	1989				611		425	H.B.	1152
Va. Acts Index	1986-1990	3	26	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education for 1988-90 biennium	f	1	Va. Acts	1989				598		415	S.B.	502
Va. Acts Index	1986-1990	3	27	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education for 1990-1992 biennium	f	1	Va. Acts	1990				1723		921	H.B.	32
Va. Acts Index	1986-1990	3	28	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for institutions of higher education for 1990-1992 biennium	f	1	Va. Acts	1990				1603		887	S.B.	32
Va. Acts Index	1986-1990	3	29	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for 1984-86 biennium. Amending Chapter 619, 1985 Acts	f	1	Va. Acts	1986				275		221	H.B.	29
Va. Acts Index	1986-1990	3	30	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for 1986-88 biennium	f	1	Va. Acts	1986				1594		643	H.B.	30
Va. Acts Index	1986-1990	3	31	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for 1988-90 biennium	f	1	Va. Acts	1988				1280		800	H.B.	30
Va. Acts Index	1986-1990	3	32	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget bill; appropriations for 1990-1992 biennium	f	1	Va. Acts	1990				1871		972	H.B.	30
Va. Acts Index	1986-1990	3	33	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget, state; consideration by standing committees of House and Senate. Amending § 2.1-400	f	1	Va. Acts	1987				199		138	H.B.	1477
Va. Acts Index	1986-1990	3	34	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Business incubator program; Joint Subcommittee Studying Economic Development to study establishment thereof	f	1	Va. Acts	1989				2324			S.J.R.	210
Va. Acts Index	1986-1990	4	1	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Cable television companies; granting of easements by state agencies. Amending §§ 2.1-504.4 and 23-9.1.	f	1	Va. Acts	1986				1036		536	H.B.	644
Va. Acts Index	1986-1990	4	2	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Capitol Police; powers and duties involving theft of personal property of General Assembly members or employees. Amending § 30-34.2:1.	f	1	Va. Acts	1988				400		329	H.B.	62
Va. Acts Index	1986-1990	4	3	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Chesapeake Bay Preservation Act; created. Amending §§ 2.1-1.1, 2.1-1.3, 2.1-1.6, 2.1-20.4, 2.1-51.9 and 9-6.25:2; adding §§ 10-313 through 10-327	f	1	Va. Acts	1988				784		608	H.B.	925
Va. Acts Index	1986-1990	4	4	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Chickahominy River; portion designated a scenic river. Amending §§ 2.1-1.6 and 9-6.25:1; adding § 10.1-410.1.	f	1	Va. Acts	1990				239		173	S.B.	224
Va. Acts Index	1986-1990	4	5	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Child abuse or neglect; allows local departments of social services to transmit information regarding reports, etc., of active duty military personnel or household members to family advocacy representatives of U.S. Armed Forces. Amending §§ 2.1-380 and 63.1-248.6.	f	1	Va. Acts	1989				802		547	S.B.	567
Va. Acts Index	1986-1990	4	6	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Child Day-Care and Early Childhood Programs, Council on; created. Amending §§ 2.1-1.7, 2.1-20.4, 2.1-51.15 and 9-6.25:2; adding §§ 9-281 through 9-291; repealing § 2.1-553.2.	f	1	Va. Acts	1989				1612		695	H.B.	1468
